Job_id,Job title,Job posting date,Job posting url,Job location,Pay rate,Vendor company name,Job type,Work from availability,Work type(remote/on-site),Modified Date,Current date time,Job Title
ef2dc9fb1f526a9407e7ffe2f700772e,Data Analyst ONSITE,2024-01-18T22:15:22Z,https://www.dice.com/job-detail/6e92c29a-e4a8-4aea-9e14-7c076cfb3728,"Richmond, VA, USA",Depends on Experience,nLeague Services,Contract,FALSE,Hybrid/Onsite,2024-01-30T18:52:11Z,2024-01-31T11:53:43Z,Data Analyst
466c0490e8975e23aebc07f8b08c9fe5,BI Techno Functional Data Analyst / W2 Position,2024-01-25T21:00:59Z,https://www.dice.com/job-detail/4be31787-7650-439d-b88b-64ca19e64674,"Wayne, NJ, USA",,Nexwave,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-30T20:45:49Z,2024-01-31T11:53:43Z,Data Analyst
8bc71ff23e35e445cd22a75ed42e3796,Principal Data Analyst/Data Modeler,2024-01-23T21:36:59Z,https://www.dice.com/job-detail/2025fd71-58ba-4d68-9d25-f9fbf2ab8730,"Durham, NC, USA",Market,Mastech Digital,Contract,FALSE,Hybrid/Onsite,2024-01-31T03:38:17Z,2024-01-31T11:53:43Z,Data Analyst
18f4b42b3f378ae81fee8e31ba38e182,Data Analyst/Specialist (Local to Texas only),2024-01-25T16:53:35Z,https://www.dice.com/job-detail/dda471ae-be6a-496c-a6f1-75a962df21c3,"Austin, TX, USA",$50 - $60,"Esolvit, Inc.",Contract,FALSE,Hybrid/Onsite,2024-01-25T21:04:00Z,2024-01-31T11:53:43Z,Data Analyst
6711247042192172eb36abf14ffe7a21,SR. DATA ANALYST (MUST BE STRONG WITH SQL),2024-01-29T15:30:08Z,https://www.dice.com/job-detail/27416847-d220-4ead-90fd-251c30dad08b,"Deerfield Beach, FL, USA",Depends on Experience,"3Core Systems, Inc",Contract,FALSE,Hybrid/Onsite,2024-01-29T15:30:08Z,2024-01-31T11:53:43Z,Data Analyst
a49c59b9162e6356891810022c892fc0,Data Analyst?with expert-level Excel - Contract - W2 Only (no C2C) - Remote,2024-01-12T17:03:53Z,https://www.dice.com/job-detail/513c193c-df83-4ac8-b78b-99bb2e3db607,"Chattanooga, TN, USA",BASED ON EXPERIENCE,iTech Solutions,Contract,FALSE,Hybrid/Onsite,2024-01-31T01:03:58Z,2024-01-31T11:53:43Z,Data Analyst
b555efe5d3117bdcaa970858cb4e1677,Data Analyst,2024-01-26T21:18:20Z,https://www.dice.com/job-detail/c3afcf01-1254-4ea6-95fe-f81df7a638f2,"Tracy, CA, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-01-26T21:18:20Z,2024-01-31T11:53:43Z,Data Analyst
8480f600afda0347473aeee41897afdf,"Lead Technical Data Analyst   /Mclean VA , 6 months Contract to Hire",2024-01-25T01:04:21Z,https://www.dice.com/job-detail/66e1f5a0-b0f4-4391-bec9-67e03fb046da,"McLean, VA, USA",,Suncap Technology,Contract,FALSE,Hybrid/Onsite,2024-01-31T01:02:01Z,2024-01-31T11:53:43Z,Data Analyst
627a2d8e00595411b43c39a2cee34955,Data Analyst,2024-01-20T01:04:28Z,https://www.dice.com/job-detail/8bcb11ac-1ab7-4b00-afce-4b41cd70c4d1,"Golden Valley, MN, USA",USD 35.00 - 45.00 per hour,Robert Half,Contract,FALSE,Hybrid/Onsite,2024-01-31T01:07:59Z,2024-01-31T11:53:43Z,Data Analyst
eae8495993b90a5d4c98202bbcdb5167,Data Analyst / Project Manager,2024-01-22T20:08:29Z,https://www.dice.com/job-detail/86acaf07-66bf-4568-9cf5-c36409e4265f,,,Tandym Tech,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:08:55Z,2024-01-31T11:53:43Z,Data Analyst
